,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Categories,,Distinct Categories,Score ,Top Categories
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07 9:43,photo,Studying,0,1363,,Studying,1866347,Animals
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2021-06-17 12:22,photo,Studying,10,1363,,healthy eating,2936260,science
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-18 5:13,photo,Studying,15,1363,,technology,2853330,healthy eating
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06 19:13,photo,Studying,0,1363,,food,2878335,food
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-08-23 12:25,photo,Studying,30,1363,,cooking,2761291,technology
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-12-07 6:27,photo,Studying,35,1363,,dogs,1805011,culture
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2021-04-11 17:35,photo,Studying,70,1363,,soccer,2127539,cooking
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-01-27 8:32,photo,Studying,5,1363,,public speaking,1495442,travel
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2021-04-01 22:54,photo,Studying,35,1363,,science,3208369,soccer
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,2020-08-04 5:05,photo,Studying,65,1363,,tennis,1775348,education
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-11-07 8:36,photo,Studying,20,1363,,travel,2706630,fitness
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-11-02 6:28,photo,Studying,15,1363,,fitness,1958708,Studying
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-11-01 1:16,photo,Studying,30,1363,,education,2059323,dogs
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-10-07 18:39,photo,Studying,5,1363,,veganism,1573947,tennis
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-03 18:51,photo,Studying,15,1363,,Animals,3575559,veganism
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-24 5:09,photo,Studying,75,1363,,culture,2801662,public speaking
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-09-23 6:24,photo,Studying,35,1363,,,,
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-02-24 11:37,photo,Studying,20,1363,,,,
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-05-22 19:44,photo,Studying,30,1363,,,,
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,2021-01-31 16:03,photo,Studying,45,1363,,,,
